Año;Periodo;AFP;FONDO;RENTABILIDAD
2011;9;CAPITAL;FONDO A;-10.92
2011;9;CUPRUM;FONDO A;-10.16
2011;9;HABITAT;FONDO A;-10.19
2011;9;MODELO;FONDO A;-10
2011;9;PLANVITAL;FONDO A;-10.25
2011;9;PROVIDA;FONDO A;-10.36
2011;9;CAPITAL;FONDO B;-7.29
2011;9;CUPRUM;FONDO B;-6.24
2011;9;HABITAT;FONDO B;-6.34
2011;9;MODELO;FONDO B;-6.57
2011;9;PLANVITAL;FONDO B;-6.73
2011;9;PROVIDA;FONDO B;-6.65
2011;9;CAPITAL;FONDO C;-3.16
2011;9;CUPRUM;FONDO C;-2.64
2011;9;HABITAT;FONDO C;-2.1
2011;9;MODELO;FONDO C;-2.55
2011;9;PLANVITAL;FONDO C;-3.16
2011;9;PROVIDA;FONDO C;-2.74
2011;9;CAPITAL;FONDO D;0.93
2011;9;CUPRUM;FONDO D;1.41
2011;9;HABITAT;FONDO D;1.88
2011;9;MODELO;FONDO D;1.49
2011;9;PLANVITAL;FONDO D;0.93
2011;9;PROVIDA;FONDO D;1.49
2011;9;CAPITAL;FONDO E;6.1
2011;9;CUPRUM;FONDO E;6.17
2011;9;HABITAT;FONDO E;6.59
2011;9;MODELO;FONDO E;7.61
2011;9;PLANVITAL;FONDO E;5.12
2011;9;PROVIDA;FONDO E;5.6
2012;9;CAPITAL;FONDO A;5.47
2012;9;CUPRUM;FONDO A;6.21
2012;9;HABITAT;FONDO A;6.34
2012;9;MODELO;FONDO A;6.84
2012;9;PLANVITAL;FONDO A;7.39
2012;9;PROVIDA;FONDO A;5.26
2012;9;CAPITAL;FONDO B;4.36
2012;9;CUPRUM;FONDO B;4.75
2012;9;HABITAT;FONDO B;4.69
2012;9;MODELO;FONDO B;5.61
2012;9;PLANVITAL;FONDO B;5.7
2012;9;PROVIDA;FONDO B;3.94
2012;9;CAPITAL;FONDO C;3.57
2012;9;CUPRUM;FONDO C;3.55
2012;9;HABITAT;FONDO C;4.01
2012;9;MODELO;FONDO C;5.07
2012;9;PLANVITAL;FONDO C;4.64
2012;9;PROVIDA;FONDO C;3.1
2012;9;CAPITAL;FONDO D;2.79
2012;9;CUPRUM;FONDO D;2.77
2012;9;HABITAT;FONDO D;3.4
2012;9;MODELO;FONDO D;4.35
2012;9;PLANVITAL;FONDO D;3.46
2012;9;PROVIDA;FONDO D;2.56
2012;9;CAPITAL;FONDO E;2.52
2012;9;CUPRUM;FONDO E;2.39
2012;9;HABITAT;FONDO E;3.13
2012;9;MODELO;FONDO E;3.66
2012;9;PLANVITAL;FONDO E;2.53
2012;9;PROVIDA;FONDO E;2.65
2013;9;CAPITAL;FONDO A;6.07
2013;9;CUPRUM;FONDO A;6.37
2013;9;HABITAT;FONDO A;6.67
2013;9;MODELO;FONDO A;5.79
2013;9;PLANVITAL;FONDO A;6.68
2013;9;PROVIDA;FONDO A;6.19
2013;9;CAPITAL;FONDO B;3.85
2013;9;CUPRUM;FONDO B;4.55
2013;9;HABITAT;FONDO B;4.67
2013;9;MODELO;FONDO B;3.94
2013;9;PLANVITAL;FONDO B;4.62
2013;9;PROVIDA;FONDO B;4.13
2013;9;CAPITAL;FONDO C;3.83
2013;9;CUPRUM;FONDO C;4.83
2013;9;HABITAT;FONDO C;4.46
2013;9;MODELO;FONDO C;3.75
2013;9;PLANVITAL;FONDO C;4.35
2013;9;PROVIDA;FONDO C;4.24
2013;9;CAPITAL;FONDO D;3.89
2013;9;CUPRUM;FONDO D;4.57
2013;9;HABITAT;FONDO D;4.4
2013;9;MODELO;FONDO D;4.25
2013;9;PLANVITAL;FONDO D;4.3
2013;9;PROVIDA;FONDO D;4.26
2013;9;CAPITAL;FONDO E;3.51
2013;9;CUPRUM;FONDO E;3.7
2013;9;HABITAT;FONDO E;3.59
2013;9;MODELO;FONDO E;3.16
2013;9;PLANVITAL;FONDO E;3.72
2013;9;PROVIDA;FONDO E;3.81
2014;9;CAPITAL;FONDO A;13.86
2014;9;CUPRUM;FONDO A;14.76
2014;9;HABITAT;FONDO A;14.01
2014;9;MODELO;FONDO A;13.91
2014;9;PLANVITAL;FONDO A;13.65
2014;9;PROVIDA;FONDO A;14.19
2014;9;CAPITAL;FONDO B;11.49
2014;9;CUPRUM;FONDO B;12.12
2014;9;HABITAT;FONDO B;11.55
2014;9;MODELO;FONDO B;11.44
2014;9;PLANVITAL;FONDO B;11.37
2014;9;PROVIDA;FONDO B;11.9
2014;9;CAPITAL;FONDO C;10.89
2014;9;CUPRUM;FONDO C;11.61
2014;9;HABITAT;FONDO C;11.03
2014;9;MODELO;FONDO C;10.28
2014;9;PLANVITAL;FONDO C;10.3
2014;9;PROVIDA;FONDO C;11.36
2014;9;CAPITAL;FONDO D;8.96
2014;9;CUPRUM;FONDO D;9.91
2014;9;HABITAT;FONDO D;9.27
2014;9;MODELO;FONDO D;8.59
2014;9;PLANVITAL;FONDO D;8.97
